Row ID,Order ID,Order Date,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,Year,Month,Day of Week,Month Name,OID_Number,Profit Margin (%),Avg Price,Discount Level,Profit Category
1,EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,SMB,Marketing Suite,16GRM07R1K,261.96,2,0.0,41.9136,2022,11,Wednesday,November,152156,16.000000000000004,130.98,No Discount,Profit
2,EMEA-2022-152156,2022-11-09,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,SMB,FinanceHub,QLIW57KZUV,731.94,3,0.0,219.582,2022,11,Wednesday,November,152156,30.0,243.98000000000002,No Discount,Profit
3,AMER-2022-138688,2022-06-13,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,STRATEGIC,FinanceHub,JI6BVL70HQ,14.62,2,0.0,6.8714,2022,6,Monday,June,138688,47.0,7.31,No Discount,Profit
4,EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,ContactMatcher,DE9GJKGD44,957.5775,5,0.45,-383.031,2021,10,Monday,October,108966,-40.0,191.5155,High (>30%),Loss
5,EMEA-2021-108966,2021-10-11,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,Marketing Suite - Gold,OIF7NY23WD,22.368,2,0.2,2.5164,2021,10,Monday,October,108966,11.25,11.184,Low (0–20%),Profit
6,AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,Bnp Paribas,1065,Finance,SMB,SaaS Connector Pack,8RM88WFOAE,48.86,7,0.0,14.1694,2020,6,Tuesday,June,115812,28.999999999999996,6.9799999999999995,No Discount,Profit
7,AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,Bnp Paribas,1065,Finance,SMB,ChatBot Plugin,4SYTVM0746,7.28,4,0.0,1.9656,2020,6,Tuesday,June,115812,27.0,1.82,No Discount,Profit
8,AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,Bnp Paribas,1065,Finance,SMB,Site Analytics,07842ES7DY,907.152,6,0.2,90.7152,2020,6,Tuesday,June,115812,10.0,151.192,Low (0–20%),Profit
9,AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,Bnp Paribas,1065,Finance,SMB,ContactMatcher,XPBOBXWXA3,18.504,3,0.2,5.7825,2020,6,Tuesday,June,115812,31.249999999999993,6.168,Low (0–20%),Profit
10,AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,Bnp Paribas,1065,Finance,SMB,OneView,71J8P9Z1P0,114.9,5,0.0,34.47,2020,6,Tuesday,June,115812,30.0,22.98,No Discount,Profit
11,AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,Bnp Paribas,1065,Finance,SMB,ContactMatcher,43NZ37VE2D,1706.184,9,0.2,85.3092,2020,6,Tuesday,June,115812,5.0,189.576,Low (0–20%),Profit
12,AMER-2020-115812,2020-06-09,United States,New York City,AMER,NAMER,Bnp Paribas,1065,Finance,SMB,Site Analytics,JG14MOU94R,911.424,4,0.2,68.3568,2020,6,Tuesday,June,115812,7.500000000000001,227.856,Low (0–20%),Profit
13,EMEA-2023-114412,2023-04-16,Sweden,Stockholm,EMEA,NOR,Engie,1062,Energy,SMB,Support,FE5QJBIUN1,15.552,3,0.2,5.4432,2023,4,Sunday,April,114412,35.0,5.184,Low (0–20%),Profit
